id,author,text,points,created_at,parent_id,story_id
487171,jacquesm,"So, just to see how hard it is to make the longest span between article and comment :)<p>Congratulations on your second birthday YC, and thanks to Paul Graham for writing this forum. I had a really good look at the good a few days ago and I was quite impressed with how elegant the whole thing is put together.<p>Lisp would not be my language of choice for a website like this, and yet, after seeing how concise it was I'm tempted to play around with lisp in a web environment.",12,2009-02-19T12:21:23.000Z,,1
15,sama,&#34;the rising star of venture capital&#34; -unknown VC eating lunch on SHR,5,2006-10-09T19:51:01.000Z,,1
17,pg,Is there anywhere to eat on Sandhill Road?,5,2006-10-09T19:52:45.000Z,15,1
1079,dmon,sure,4,2007-02-25T22:18:23.000Z,17,1
454426,Arrington,This is why we can't have nice things.,1,2009-01-28T20:32:27.000Z,17,1
454424,Arrington,This is why we can't have nice things.,1,2009-01-28T20:32:21.000Z,15,1
454410,Arrington,This is why we can't have nice things.,1,2009-01-28T20:31:34.000Z,,1
234509,kleevr,"sequential numbering
  I must be bored",1,2008-07-02T20:29:48.000Z,,1
234621,kleevr,"I guess that news.yc is 1-indexed :)<p><a href=""http://news.ycombinator.com/item?id=0"" rel=""nofollow"">http://news.ycombinator.com/item?id=0</a> , DNE",6,2008-07-02T22:10:58.000Z,234509,1
234560,sebg,"Interesting - post 1 has comments.  no more comments until post 15.  which then has the same conversation between pg and dnom as the first post.  To top it off, post 17 is the conversation in posts 1 and 15.",2,2008-07-02T21:20:36.000Z,234509,1
234568,byrneseyeview,"I think those 'items' are comments, not posts.",1,2008-07-02T21:24:27.000Z,234560,1
234633,kleevr,"items: comments || posts... 
they're also arranged in a hierarchy...",1,2008-07-02T22:22:09.000Z,234568,1
234593,kleevr,I'm sure the first fifteen were used primarily to populate the burgeoning news.yc,1,2008-07-02T21:47:18.000Z,234560,1
234548,byrneseyeview,I think I agree?,1,2008-07-02T21:09:38.000Z,234509,1
234549,rms,i hear that there is an awesome easter egg in the -100s somewhere,2,2008-07-02T21:11:02.000Z,234548,1
234551,byrneseyeview,How many people are lurking on this thread?,1,2008-07-02T21:13:37.000Z,234549,1
234567,rms,it's the new comments page for me...,1,2008-07-02T21:24:23.000Z,234551,1
234580,sebg,ditto.  (thanks for pointing out posts vs. items.),1,2008-07-02T21:35:08.000Z,234567,1
